ST_CASE,STATENAME,LATITUDE,LONGITUD,FATALS,V_CONFIGNAME,year
490085,Utah,37.86220833,-109.34025,1,Truck Tractor/Semi-Trailer,2019
490093,Utah,39.33076389,-112.6522,1,Truck Pulling Trailer(s),2019
490094,Utah,40.24118889,-111.1815306,1,Truck Tractor/Double,2019
490102,Utah,40.03168056,-111.6538944,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2019
490104,Utah,41.273925,-112.0850139,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2019
490110,Utah,40.37993056,-111.9929194,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2019
490113,Utah,40.30191667,-109.8577,1,Single-Unit Truck (3 or more axles),2019
490119,Utah,41.17934167,-112.1226611,1,Truck Tractor/Semi-Trailer,2019
490120,Utah,40.30186667,-109.8604722,1,Truck Tractor/Semi-Trailer,2019
490121,Utah,39.77266944,-110.9109139,1,Truck Tractor/Semi-Trailer,2019
490126,Utah,40.43146667,-111.8867889,1,Truck Tractor/Double,2019
490133,Utah,38.98884167,-110.245525,1,Truck Tractor/Semi-Trailer,2019
490133,Utah,38.98884167,-110.245525,1,Truck Tractor/Semi-Trailer,2019
490134,Utah,41.31379444,-112.0258278,1,Truck Tractor/Semi-Trailer,2019
490135,Utah,41.65028889,-112.1127917,1,Truck Tractor/Semi-Trailer,2019
490138,Utah,40.72506111,-112.5700528,1,Truck Tractor/Semi-Trailer,2019
490140,Utah,37.16038056,-113.4357722,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2019
490149,Utah,41.35086944,-111.8086583,1,Single-Unit Truck (3 or more axles),2019
490150,Utah,40.47595556,-111.9055444,1,Truck Tractor/Double,2019
490154,Utah,41.16563333,-112.0214694,1,Truck Tractor/Semi-Trailer,2019
490154,Utah,41.16563333,-112.0214694,1,Truck Pulling Trailer(s),2019
490167,Utah,40.16490833,-110.1540111,1,Truck Tractor/Double,2019
490169,Utah,40.36978333,-111.2922722,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2019
490187,Utah,40.73048611,-111.4991611,1,"Truck More Than 10,000 lbs, Cannot Classify",2019
490195,Utah,41.16961944,-112.02005,1,Truck Tractor/Semi-Trailer,2019
490196,Utah,40.48086944,-111.9014917,1,Truck Tractor/Semi-Trailer,2019
490201,Utah,39.33106944,-110.3687389,1,Truck Tractor/Semi-Trailer,2019
490209,Utah,40.72615833,-111.9046556,1,Truck Tractor/Semi-Trailer,2019
490227,Utah,41.79215,-112.2832722,1,Truck Tractor/Semi-Trailer,2019
490001,Utah,40.45459167,-109.5447333,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2018
490003,Utah,39.67524167,-111.8463417,1,Single-Unit Truck (3 or more axles),2018
490006,Utah,40.72566111,-111.9161889,1,Truck Tractor/Semi-Trailer,2018
490028,Utah,40.72575278,-111.9659833,1,Truck Tractor/Semi-Trailer,2018
490029,Utah,40.09015556,-111.697625,1,Truck Tractor/Semi-Trailer,2018
490031,Utah,38.722,-109.71545,1,Truck Tractor/Semi-Trailer,2018
490069,Utah,41.01314444,-111.3689,1,Truck Tractor/Semi-Trailer,2018
490069,Utah,41.01314444,-111.3689,1,Truck Tractor/Semi-Trailer,2018
490069,Utah,41.01314444,-111.3689,1,Truck Tractor/Semi-Trailer,2018
490074,Utah,37.04558056,-112.2113222,1,Truck Tractor/Double,2018
490080,Utah,37.20985833,-109.1707083,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2018
490083,Utah,40.63926944,-111.9766639,1,Truck Tractor/Semi-Trailer,2018
490084,Utah,38.76913611,-112.1005611,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2018
490090,Utah,40.57321667,-111.9770889,1,Single-Unit Truck (3 or more axles),2018
490103,Utah,40.28291944,-111.6584917,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2018
490104,Utah,39.97559722,-111.7733833,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2018
490115,Utah,40.62376944,-112.2930167,1,Truck Pulling Trailer(s),2018
490121,Utah,37.13227222,-113.5848444,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2018
490126,Utah,41.331575,-112.0348472,1,Truck Tractor/Semi-Trailer,2018
490133,Utah,38.84731667,-111.0140306,1,Truck Tractor/Semi-Trailer,2018
490137,Utah,38.32981944,-109.0896806,1,Single-Unit Truck (3 or more axles),2018
490140,Utah,41.14127778,-111.7878028,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2018
490151,Utah,38.353425,-111.5739222,1,"Truck More Than 10,000 lbs, Cannot Classify",2018
490156,Utah,40.745375,-112.1830944,1,Truck Tractor/Semi-Trailer,2018
490158,Utah,40.37626667,-111.8865167,1,"Truck More Than 10,000 lbs, Cannot Classify",2018
490168,Utah,39.93333333,-111.1544,1,Truck Tractor/Semi-Trailer,2018
490179,Utah,41.28142778,-112.0261333,1,Truck Tractor/Semi-Trailer,2018
490184,Utah,40.562225,-111.9671528,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2018
490199,Utah,40.54803611,-111.4202333,1,Truck Tractor/Double,2018
490203,Utah,40.17773333,-110.5109222,1,Truck Tractor/Double,2018
490208,Utah,41.94668056,-111.3933972,1,Truck Tractor/Semi-Trailer,2018
490211,Utah,38.85145,-110.8833278,1,Truck Tractor/Semi-Trailer,2018
490228,Utah,40.36571944,-111.7511917,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2018
490239,Utah,40.65406111,-112.0760833,1,Truck Pulling Trailer(s),2018
490001,Utah,37.54651667,-113.6853333,1,Truck Tractor/Semi-Trailer,2017
490010,Utah,38.71319167,-109.7041472,1,Truck Tractor/Semi-Trailer,2017
490011,Utah,40.23009167,-111.1207611,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2017
490023,Utah,41.38543056,-112.0417778,1,Truck Tractor/Semi-Trailer,2017
490027,Utah,41.01235556,-111.3699694,1,Truck Tractor/Semi-Trailer,2017
490030,Utah,40.75309444,-111.6259,1,Truck Tractor/Semi-Trailer,2017
490030,Utah,40.75309444,-111.6259,1,Truck Tractor/Double,2017
490031,Utah,40.29889722,-111.7256528,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2017
490039,Utah,40.55128056,-111.8962917,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2017
490039,Utah,40.55128056,-111.8962917,1,"Truck More Than 10,000 lbs, Cannot Classify",2017
490046,Utah,40.74331944,-111.9896583,1,Truck Tractor/Semi-Trailer,2017
490046,Utah,40.74331944,-111.9896583,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2017
490053,Utah,37.25281111,-113.6306583,1,Truck Tractor/Double,2017
490055,Utah,40.43939444,-111.4908944,1,Truck Tractor/Semi-Trailer,2017
490058,Utah,37.73285278,-113.7213444,1,Truck Tractor/Semi-Trailer,2017
490064,Utah,38.54425,-112.6086028,1,Truck Tractor/Semi-Trailer,2017
490081,Utah,40.72916944,-113.3886306,1,"Truck More Than 10,000 lbs, Cannot Classify",2017
490081,Utah,40.72916944,-113.3886306,1,Truck Tractor/Semi-Trailer,2017
490082,Utah,41.84903333,-112.1722861,1,Truck Tractor/Double,2017
490084,Utah,40.65673056,-111.4574056,1,Truck Tractor/Double,2017
490089,Utah,37.93576111,-109.3461611,1,Truck Tractor/Double,2017
490105,Utah,40.61583611,-112.3682417,1,Truck Tractor/Semi-Trailer,2017
490106,Utah,39.96882222,-112.25495,1,Truck Tractor/Double,2017
490119,Utah,39.53384167,-110.8167861,1,Truck Tractor/Semi-Trailer,2017
490127,Utah,39.57461667,-110.8160389,1,Truck Tractor/Double,2017
490141,Utah,39.28241944,-112.4612111,1,Truck Tractor/Semi-Trailer,2017
490144,Utah,40.72524722,-111.9862583,1,Truck Tractor/Semi-Trailer,2017
490152,Utah,40.86141944,-111.8993528,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2017
490156,Utah,40.15833611,-111.7110889,1,Truck Pulling Trailer(s),2017
490157,Utah,40.34230278,-111.7567139,1,"Truck More Than 10,000 lbs, Cannot Classify",2017
490159,Utah,40.29756111,-111.663025,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2017
490162,Utah,41.48652222,-112.0343861,1,Truck Tractor/Semi-Trailer,2017
490176,Utah,41.85629444,-111.5852972,1,Truck Tractor/Semi-Trailer,2017
490179,Utah,40.37298611,-111.8068833,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2017
490190,Utah,39.58233333,-111.929825,1,Truck Tractor/Semi-Trailer,2017
490219,Utah,40.70631389,-111.9388917,1,Truck Pulling Trailer(s),2017
490249,Utah,40.19468889,-111.6487472,1,Truck Pulling Trailer(s),2017
490005,Utah,39.40238611,-111.9279222,1,"Truck More Than 10,000 lbs, Cannot Classify",2016
490005,Utah,39.40238611,-111.9279222,1,Truck Tractor/Semi-Trailer,2016
490016,Utah,38.42614444,-109.4276972,1,Truck Tractor/Semi-Trailer,2016
490016,Utah,38.42614444,-109.4276972,1,Truck Tractor/Semi-Trailer,2016
490034,Utah,39.06380833,-111.8207556,1,Truck Tractor/Double,2016
490053,Utah,40.10619167,-111.6803889,1,Truck Tractor/Semi-Trailer,2016
490055,Utah,40.73261944,-113.5770306,1,Truck Tractor/Double,2016
490070,Utah,40.73348889,-111.9168528,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2016
490082,Utah,40.70481944,-112.0918167,1,Truck Pulling Trailer(s),2016
490084,Utah,41.84519167,-111.9004056,1,Truck Tractor/Semi-Trailer,2016
490124,Utah,38.92444167,-111.7708139,1,Truck Tractor/Semi-Trailer,2016
490127,Utah,40.526775,-111.8956778,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2016
490131,Utah,39.81555556,-110.9387917,1,Truck Tractor/Semi-Trailer,2016
490162,Utah,40.74974722,-111.9093,1,Truck Tractor/Semi-Trailer,2016
490163,Utah,40.72876389,-111.9390222,1,Truck Tractor (Bobtail),2016
490165,Utah,40.72294722,-112.0249306,1,Truck Tractor/Semi-Trailer,2016
490181,Utah,40.39424722,-111.8408222,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2016
490200,Utah,39.97781667,-111.348475,1,Truck Tractor/Semi-Trailer,2016
490204,Utah,39.535525,-110.5960556,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2016
490218,Utah,40.47461944,-111.4417444,1,Truck Tractor/Semi-Trailer,2016
490219,Utah,40.077925,-111.5829222,1,Truck Tractor/Semi-Trailer,2016
490261,Utah,38.63801111,-112.6085611,1,Truck Tractor/Semi-Trailer,2016
490261,Utah,38.63801111,-112.6085611,1,Truck Tractor/Semi-Trailer,2016
490267,Utah,40.76393056,-112.7333278,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2016
490003,Utah,41.31841111,-111.9918111,1,Truck Tractor/Semi-Trailer,2015
490023,Utah,39.61875,-110.8548056,1,Truck Pulling Trailer(s),2015
490025,Utah,37.03721944,-112.3670972,1,Truck Tractor/Double,2015
490035,Utah,40.42205,-111.8688028,1,Truck Tractor/Double,2015
490049,Utah,41.20505833,-112.00125,1,Truck Tractor/Semi-Trailer,2015
490059,Utah,38.60161111,-109.5757917,1,Truck Tractor (Bobtail),2015
490072,Utah,40.30623056,-112.1008972,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2015
490074,Utah,40.59265278,-111.4366833,1,Truck Tractor/Double,2015
490102,Utah,39.64109444,-111.4202611,1,Truck Tractor/Semi-Trailer,2015
490104,Utah,38.60614167,-112.5083056,1,Truck Tractor/Semi-Trailer,2015
490123,Utah,40.75131944,-112.70495,1,Truck Tractor/Semi-Trailer,2015
490123,Utah,40.75131944,-112.70495,1,Truck Tractor/Semi-Trailer,2015
490123,Utah,40.75131944,-112.70495,1,Truck Tractor/Semi-Trailer,2015
490123,Utah,40.75131944,-112.70495,1,Truck Tractor/Semi-Trailer,2015
490123,Utah,40.75131944,-112.70495,1,Truck Tractor/Semi-Trailer,2015
490123,Utah,40.75131944,-112.70495,1,Truck Tractor/Semi-Trailer,2015
490126,Utah,41.55283611,-112.1185528,1,Truck Tractor/Semi-Trailer,2015
490130,Utah,40.732525,-112.0003306,1,Truck Tractor/Semi-Trailer,2015
490136,Utah,38.91316111,-110.5088611,1,Truck Tractor/Semi-Trailer,2015
490141,Utah,38.93301944,-111.7960111,1,"Truck More Than 10,000 lbs, Cannot Classify",2015
490158,Utah,41.05105556,-111.6185833,1,Truck Tractor/Double,2015
490173,Utah,38.98833889,-112.3275139,1,Truck Tractor/Semi-Trailer,2015
490177,Utah,37.18363611,-113.27505,1,Truck Tractor (Bobtail),2015
490202,Utah,41.875,-113.7520028,1,Single-Unit Truck (3 or more axles),2015
490204,Utah,40.76543611,-111.9391167,1,"Truck More Than 10,000 lbs, Cannot Classify",2015
490207,Utah,40.48921944,-111.9994444,1,Truck Tractor/Semi-Trailer,2015
490220,Utah,40.157025,-110.2552639,1,Truck Tractor/Double,2015
490244,Utah,40.63068333,-111.8505778,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2015
490251,Utah,40.3064,-111.725675,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2015
490256,Utah,41.15100833,-112.0255889,1,Truck Tractor/Semi-Trailer,2015
490257,Utah,41.49598056,-111.9616,1,Truck Tractor/Semi-Trailer,2015
490261,Utah,40.03826944,-111.5348611,1,Truck Tractor/Double,2015
490262,Utah,41.18789722,-112.0081028,1,Truck Tractor/Semi-Trailer,2015
490262,Utah,38.90611944,-109.8143667,2,Truck Tractor/Semi-Trailer,2021
490262,Utah,38.90611944,-109.8143667,2,Truck Tractor/Semi-Trailer,2021
490040,Utah,40.74679167,-111.9390861,2,Single-Unit Truck (3 or more axles),2022
490018,Utah,38.57329722,-109.5507806,2,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2020
