ST_CASE,STATENAME,LATITUDE,LONGITUD,FATALS,V_CONFIGNAME,year,,,,
490164,Utah,40.63625,-111.9070028,1,Not Applicable,2021,,,,
490165,Utah,41.67705833,-111.881375,1,Not Applicable,2021,,,,
490165,Utah,41.67705833,-111.881375,1,Not Applicable,2021,,,,
490166,Utah,40.83142222,-111.9368139,1,Not Applicable,2021,,,,
490167,Utah,39.74271111,-110.8381056,1,Not Applicable,2021,,,,
490167,Utah,39.74271111,-110.8381056,1,Not Applicable,2021,,,,
490168,Utah,40.24116944,-111.1818472,1,Not Applicable,2021,,,,
490168,Utah,40.24116944,-111.1818472,1,Not Applicable,2021,,,,
490169,Utah,38.92568056,-109.9827167,1,Not Applicable,2021,,,,
490170,Utah,38.77230556,-112.0837667,1,Not Applicable,2021,,,,
490170,Utah,38.77230556,-112.0837667,1,Not Applicable,2021,,,,
490171,Utah,41.54358889,-112.0674944,2,Not Applicable,2021,,,,
490172,Utah,41.69477222,-111.1736889,2,Not Applicable,2021,,,,
490172,Utah,41.69477222,-111.1736889,2,Not Applicable,2021,,,,
490173,Utah,38.34569444,-112.8667222,1,Not Applicable,2021,,,,
490174,Utah,41.66416667,-111.89445,1,Not Applicable,2021,,,,
490174,Utah,41.66416667,-111.89445,1,Not Applicable,2021,,,,
490175,Utah,40.67446667,-111.9054389,1,Not Applicable,2021,,,,
490176,Utah,37.12831944,-109.9146972,1,Not Applicable,2021,,,,
490177,Utah,40.72359722,-111.9411972,1,Not Applicable,2021,,,,
490178,Utah,41.788975,-111.6460639,1,Not Applicable,2021,,,,
490178,Utah,41.788975,-111.6460639,1,Truck Pulling Trailer(s),2021,,,,
490179,Utah,37.78913611,-112.9687583,2,Not Applicable,2021,,,,
490180,Utah,40.32433056,-111.7285194,1,Not Applicable,2021,,,,
490181,Utah,41.56071111,-112.0697972,1,Truck Pulling Trailer(s),2021,,,,
490182,Utah,40.75135278,-113.0453778,2,Not Applicable,2021,,,,
490182,Utah,40.75135278,-113.0453778,2,Not Applicable,2021,,,,
490183,Utah,39.57079722,-110.7806806,1,Not Applicable,2021,,,,
490184,Utah,40.69942778,-111.9212611,1,Not Applicable,2021,,,,
490185,Utah,41.78542222,-112.12505,1,Not Applicable,2021,,,,
490185,Utah,41.78542222,-112.12505,1,Not Applicable,2021,,,,
490186,Utah,37.68476389,-113.1619389,1,Not Applicable,2021,,,,
490186,Utah,37.68476389,-113.1619389,1,Single-Unit Truck (3 or more axles),2021,,,,
490187,Utah,40.709025,-111.4800472,1,Not Applicable,2021,,,,
490188,Utah,40.73425833,-111.9495472,1,Not Applicable,2021,,,,
490189,Utah,37.18004167,-113.1259222,2,Not Applicable,2021,,,,
490189,Utah,37.18004167,-113.1259222,2,Not Applicable,2021,,,,
490190,Utah,40.72587778,-112.0221,1,Truck Tractor/Semi-Trailer,2021,,,,
490190,Utah,40.72587778,-112.0221,1,Truck Tractor/Semi-Trailer,2021,,,,
490191,Utah,40.73385,-111.904275,1,Not Applicable,2021,,,,
490191,Utah,40.73385,-111.904275,1,Not Applicable,2021,,,,
490192,Utah,41.04231667,-111.9364444,1,Not Applicable,2021,,,,
490192,Utah,41.04231667,-111.9364444,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2021,,,,
490192,Utah,41.04231667,-111.9364444,1,Not Applicable,2021,,,,
490193,Utah,41.04520278,-111.3097278,1,Not Applicable,2021,,,,
490194,Utah,41.079075,-111.9873472,1,Not Applicable,2021,,,,
490195,Utah,41.24136389,-111.9785,1,Truck Tractor/Semi-Trailer,2021,,,,
490196,Utah,40.37396389,-111.8574667,1,Not Applicable,2021,,,,
490197,Utah,40.91689444,-111.9035583,1,Not Applicable,2021,,,,
490198,Utah,40.21296944,-110.3892972,1,Truck Tractor/Semi-Trailer,2021,,,,
490199,Utah,37.10112222,-113.3810944,1,Not Applicable,2021,,,,
490200,Utah,40.72747778,-113.267325,1,Not Applicable,2021,,,,
490201,Utah,40.53393611,-111.9387083,1,Not Applicable,2021,,,,
490201,Utah,40.53393611,-111.9387083,1,Not Applicable,2021,,,,
490202,Utah,41.27755278,-111.9691806,1,Not Applicable,2021,,,,
490202,Utah,41.27755278,-111.9691806,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2021,,,,
490203,Utah,37.88071667,-113.6563306,1,Not Applicable,2021,,,,
490204,Utah,40.57439444,-111.6916889,1,Not Applicable,2021,,,,
490206,Utah,41.79373889,-112.0360444,1,Not Applicable,2021,,,,
490206,Utah,41.79373889,-112.0360444,1,Not Applicable,2021,,,,
490207,Utah,40.25356667,-111.6697333,1,Not Applicable,2021,,,,
490207,Utah,40.25356667,-111.6697333,1,Not Applicable,2021,,,,
490207,Utah,40.25356667,-111.6697333,1,Not Applicable,2021,,,,
490208,Utah,40.45558889,-109.5378778,1,Truck Pulling Trailer(s),2021,,,,
490209,Utah,39.33796389,-112.6064222,1,Not Applicable,2021,,,,
490209,Utah,39.33796389,-112.6064222,1,Not Applicable,2021,,,,
490209,Utah,39.33796389,-112.6064222,1,Truck Pulling Trailer(s),2021,,,,
490210,Utah,37.66362222,-112.4259028,1,Not Applicable,2021,,,,
490211,Utah,41.19711111,-111.8196222,1,Not Applicable,2021,,,,
490212,Utah,37.12535,-113.5218944,1,Not Applicable,2021,,,,
490212,Utah,37.12535,-113.5218944,1,Not Applicable,2021,,,,
490213,Utah,40.289775,-111.6918,2,Not Applicable,2021,,,,
490213,Utah,40.289775,-111.6918,2,Not Applicable,2021,,,,
490214,Utah,41.21646944,-111.9705889,1,Not Applicable,2021,,,,
490215,Utah,41.25893333,-111.8167167,1,Not Applicable,2021,,,,
490215,Utah,41.25893333,-111.8167167,1,Not Applicable,2021,,,,
490216,Utah,40.4058,-111.5272778,1,Not Applicable,2021,,,,
490217,Utah,39.12355556,-109.1701639,1,Not Applicable,2021,,,,
490217,Utah,39.12355556,-109.1701639,1,"Qualifying Vehicle, Unknown Configuration",2021,,,,
490218,Utah,40.31686111,-111.72635,2,Not Applicable,2021,,,,
490219,Utah,40.79039167,-111.9168583,1,Not Applicable,2021,,,,
490220,Utah,40.32764444,-111.6322917,1,Not Applicable,2021,,,,
490220,Utah,40.32764444,-111.6322917,1,Not Applicable,2021,,,,
490221,Utah,41.16270556,-112.0645528,1,Not Applicable,2021,,,,
490222,Utah,40.97267778,-111.8942222,2,Not Applicable,2021,,,,
490223,Utah,41.51284167,-112.0156417,1,Not Applicable,2021,,,,
490224,Utah,41.84092222,-111.3437806,1,Not Applicable,2021,,,,
490225,Utah,41.95175,-111.4927583,1,Not Applicable,2021,,,,
