route,county,location,time,latitude,longitude,type
US 191,San Juan County,US 191 at MP 19,"12/23/23, 9:25 PM",37.238051,-109.609106,Crash
SR 111,Salt Lake County,SR 111 at MP 5,"12/23/23, 9:25 AM",40.644758,-112.065888,Crash
I-80,Salt Lake County,I-80 at MP 138,"12/23/23, 9:22 AM",40.747703,-111.639522,Crash
I-215 W,Salt Lake County,I-215 W at MP 15,"12/23/23, 9:20 PM",40.655436,-111.952536,Crash
700 E,Salt Lake County,700 E at 2700 S,"12/23/23, 9:17 PM",40.712148,-111.871249,Crash
SR 190,Salt Lake County,SR 190 at MP 12,"12/23/23, 8:52 AM",40.64033,-111.630425,Crash
I-15,Millard County,I-15 at MP 179,"12/23/23, 8:51 AM",39.153033,-112.230485,Crash
I-80,Summit County,I-80 at MP 145,"12/23/23, 8:49 AM",40.723073,-111.529346,Crash
I-15,Salt Lake County,I-15 at MP 307,"12/23/23, 8:29 AM",40.74966,-111.90976,Crash
I-15,Utah County,I-15 at MP 262,"12/23/23, 8:23 AM",40.190632,-111.64694,Crash
US 40,Summit County,US 40 at MP 4,"12/23/23, 8:14 AM",40.68342,-111.462507,Crash
SR 210,Salt Lake County,SR 210 at MP 7,"12/23/23, 8:09 AM",40.571959,-111.720092,Crash
I-15,Salt Lake County,I-15 at MP 305,"12/23/23, 8:06 AM",40.722344,-111.904691,Crash
I-80,Salt Lake County,I-80 at MP 117,"12/23/23, 8:04 AM",40.765438,-111.953251,Crash
I-215 S,Salt Lake County,I-215 S at MP 6,"12/23/23, 7:56 AM",40.641354,-111.808234,Crash
PARRISH LN,Davis County,PARRISH LN 211,"12/23/23, 7:55 PM",40.92151,-111.882575,Crash
I-15,Utah County,I-15 at MP 253,"12/23/23, 7:52 AM",40.079244,-111.709158,Crash
I-70,Grand County,I-70 at MP 225,"12/23/23, 7:50 PM",39.149218,-109.149803,Crash
I-15,Salt Lake County,I-15 at MP 291,"12/23/23, 7:48 AM",40.52103,-111.891246,Crash
SR 196,Tooele County,SR 196 at MP 14,"12/23/23, 7:39 PM",40.427914,-112.748748,Crash
I-15,Weber County,I-15 at MP 339,"12/23/23, 7:37 AM",41.169225,-112.020449,Crash
I-80,Salt Lake County,I-80 at MP 138,"12/23/23, 7:26 AM",40.747703,-111.639522,Crash
I-15,Iron County,I-15 at MP 62,"12/23/23, 7:23 PM",37.722619,-113.058258,Signal problems
US 89,Sanpete County,US 89 at MP 268,"12/23/23, 7:18 PM",39.430681,-111.554437,Crash
I-15,Davis County,I-15 at MP 314,"12/23/23, 7:12 AM",40.846156,-111.91486,Crash
I-215 E,Salt Lake County,I-215 E at MP 5,"12/23/23, 6:58 AM",40.655726,-111.806969,Crash
I-80,Salt Lake County,I-80 at MP 107,"12/23/23, 6:56 PM",40.770886,-112.143879,Crash
I-80,Salt Lake County,I-80 at MP 137,"12/23/23, 6:55 PM",40.74385,-111.657734,Crash
I-15,Box Elder County,I-15 at MP 391,"12/23/23, 6:54 AM",41.87109,-112.169859,Crash
I-215 W,Salt Lake County,I-215 W at MP 22,"12/23/23, 6:42 AM",40.760605,-111.951068,Crash
SR 210,Salt Lake County,SR 210 at MP 4,"12/23/23, 6:32 AM",40.572095,-111.773814,Roadway Restriction
SR 190,Salt Lake County,SR 190 at MP 2,"12/23/23, 6:30 AM",40.619107,-111.786281,Roadway Restriction
US 6,Utah County,US 6 at MP 210,"12/23/23, 6:26 PM",39.931871,-111.089175,Crash
I-15,Salt Lake County,I-15 at MP 295,"12/23/23, 4:44 PM",40.578741,-111.900284,Crash
I-15,Juab County,I-15 at MP 214,"12/23/23, 4:18 PM",39.583145,-111.929748,Crash
I-15,Davis County,I-15 at MP 323,"12/23/23, 4:02 AM",40.971566,-111.893495,Crash
I-15,Davis County,I-15 at MP 322,"12/23/23, 3:59 PM",40.957495,-111.891392,Crash
US 191,Grand County,US 191 at MP 140,"12/23/23, 3:57 AM",38.716489,-109.706617,Crash
I-15,Davis County,I-15 at MP 328,"12/23/23, 2:12 PM",41.028688,-111.946853,Crash
I-215 W,Salt Lake County,I-215 W at MP 21,"12/23/23, 2:08 PM",40.746426,-111.949053,Crash
SR 143,Iron County,SR 143 at MP 13,"12/23/23, 2:06 PM",37.720234,-112.844724,Crash
I-15,Millard County,I-15 at MP 135,"12/23/23, 11:20 AM",38.617668,-112.609775,Crash
US 6,Utah County,US 6 at MP 143,"12/23/23, 11:09 AM",39.975722,-112.072947,Crash
700 W,Salt Lake County,700 W at 5300 S/MURRAY BLVD,"12/23/23, 10:47 AM",40.653841,-111.910311,Crash
SR 248,Summit County,SR 248 at MP 3,"12/23/23, 10:41 PM",40.682241,-111.464579,Crash
SR 92,Utah County,SR 92 at MP 22,"12/23/23, 10:15 AM",40.407126,-111.60589,Crash
I-15,Davis County,I-15 at MP 328,"12/23/23, 10:10 AM",41.028688,-111.946853,Crash
US 6,Utah County,US 6 at MP 206,"12/23/23, 10:06 AM",39.932532,-111.161681,Crash
MOUNTAIN VIEW CORRIDOR HWY,Salt Lake County,MOUNTAIN VIEW CORRIDOR HWY at 5400 S,"12/23/23, 1:49 AM",40.653127,-112.043525,Crash
I-15,Salt Lake County,I-15 at MP 307,"12/23/23, 1:04 PM",40.74966,-111.90976,Crash
US 40,Uintah County,US 40 at MP 123,"12/22/23, 9:40 PM",40.301953,-109.828934,Crash
US 89,Sanpete County,US 89 at MP 235,"12/22/23, 9:38 PM",39.066393,-111.820775,Crash
State St,Salt Lake County,State St at South Temple St,"12/22/23, 8:13 AM",40.770267,-111.888227,Crash
I-80,Salt Lake County,I-80 at MP 136,"12/22/23, 8:11 AM",40.740268,-111.674521,Crash
I-70,Sevier County,I-70 at MP 37,"12/22/23, 7:08 PM",38.748141,-112.10686,Crash
I-15,Davis County,I-15 at MP 316,"12/22/23, 6:56 PM",40.87142,-111.897275,Stalled Vehicle
I-15,Salt Lake County,I-15 at MP 297,"12/22/23, 6:25 AM",40.607173,-111.905403,Crash
SR 123,Carbon County,SR 123 at MP 4,"12/22/23, 6:07 AM",39.535933,-110.501428,Crash
US 191,Uintah County,US 191 at MP 358,"12/22/23, 5:51 PM",40.531234,-109.521973,Crash
US 89,Sanpete County,US 89 at MP 284,"12/22/23, 5:43 PM",39.633033,-111.439287,Crash
