ST_CASE,CITY,DAY,MONTH,YEAR,HOUR,ROUTE,LATITUDE,LONGITUD,REL_ROAD,FATALS,HARM_EV,TWAY_ID,BODY_TYP_1,BODY_TYP_2,BODY_TYP_3,BODY_TYP_4,BODY_TYP_5,BODY_TYP_1_TEXT,BODY_TYP_2_TEXT,BODY_TYP_3_TEXT,BODY_TYP_4_TEXT,BODY_TYP_5_TEXT,HARM_EV_TEXT
490139,1205,14,6,2017,20,9,37.00525833,-110.17495,99,1,5,1 MILE W OF NAVAJO MTN SCHOOL,99,,,,,Other,,,,,Fell out
490214,1205,27,9,2014,99,4,37.00406944,-110.1779778,99,1,8,CR-420,99,,,,,Other,,,,,Hit pedestrian
490104,123,27,5,2022,9,5,40.35148056,-110.1885194,4,1,1,BLUEBELL RD,62,,,,,Heavy truck,,,,,Rollover
490202,1205,21,7,2018,16,4,37.01087778,-110.203425,2,1,1,CR-420,16,,,,,SUV,,,,,Rollover
490052,620,20,3,2022,1,1,38.98491389,-110.2183028,2,1,14,I-70,14,,,,,SUV,,,,,Hit other vehicle
490144,63,10,8,2021,20,5,40.21461389,-110.2184722,1,1,12,12000 W,34,61,,,,Pickup truck,Heavy truck,,,,Hit other vehicle
490078,0,7,7,2013,12,1,38.98043333,-110.2363417,1,2,1,I-70,14,,,,,SUV,,,,,Rollover
490125,9997,23,7,2017,16,3,40.29783889,-110.2366778,1,2,12,SR-87,1,4,,,,Car,Car,,,,Hit other vehicle
490019,16,7,2,2020,22,5,40.24777222,-110.2371556,5,1,1,13000 W,63,,,,,Heavy truck,,,,,Rollover
490133,620,29,9,2019,15,2,38.98884167,-110.245525,1,1,12,US-6,4,66,66,,,Car,Semi truck,Semi truck,,,Hit other vehicle
490118,0,1,7,2016,20,2,38.98978889,-110.2471139,1,1,72,US-6,14,31,4,4,,SUV,Pickup truck,Car,Car,,Hit object
490146,620,27,10,2019,15,1,38.97538333,-110.2515361,2,2,1,I-70,16,,,,,SUV,,,,,Rollover
490220,0,13,11,2015,23,2,40.157025,-110.2552639,1,1,12,US-40,4,66,,,,Car,Semi truck,,,,Hit other vehicle
490051,620,16,5,2019,22,2,39.003175,-110.2726639,1,1,12,US-6,80,66,,,,Motorcycle,Semi truck,,,,Hit other vehicle
490152,16,7,8,2021,21,5,40.50859444,-110.2762167,4,1,1,ROCKY FLAT RD,34,,,,,Pickup truck,,,,,Rollover
490001,620,11,1,2019,7,2,39.01043056,-110.2819222,1,2,12,US-6,34,4,,,,Pickup truck,Car,,,,Hit other vehicle
490292,1205,22,8,2022,20,5,37.06678333,-110.2851306,4,1,32,OLJATO RD,4,,,,,Car,,,,,Hit ditch
490080,0,12,7,2012,23,2,40.16978611,-110.3027639,2,1,1,US-40,31,,,,,Pickup truck,,,,,Rollover
490137,1205,6,6,2016,2,4,37.064375,-110.3066222,99,1,1,CR-420,99,,,,,Other,,,,,Rollover
490136,0,16,8,2014,5,5,40.18516389,-110.3099639,1,1,5,8000 S,14,,,,,SUV,,,,,Fell out
490058,350,23,2,2020,11,3,40.16887778,-110.3133472,1,1,1,SR-40,34,,,,,Pickup truck,,,,,Rollover
490263,620,18,12,2021,19,1,38.94885,-110.3191333,1,1,12,I-70,66,66,,,,Semi truck,Semi truck,,,,Hit other vehicle
490066,0,15,5,2017,16,1,38.94626111,-110.3235639,1,1,1,I-70,14,,,,,SUV,,,,,Rollover
490089,0,7,8,2013,11,2,39.13905278,-110.3365917,1,1,12,US-6,31,4,,,,Pickup truck,Car,,,,Hit other vehicle
490242,0,11,12,2015,16,2,39.13016111,-110.3367833,4,1,24,US-6,4,,,,,Car,,,,,Hit object
490042,620,30,4,2019,3,2,39.23960278,-110.338875,1,1,12,US-6,66,66,,,,Semi truck,Semi truck,,,,Hit other vehicle
490030,620,20,3,2018,13,1,38.93225278,-110.3554056,1,1,1,I-70,14,,,,,SUV,,,,,Rollover
490201,9898,11,12,2019,14,2,39.33106944,-110.3687389,1,1,12,US-6,34,66,,,,Pickup truck,Semi truck,,,,Hit other vehicle
490144,0,27,7,2015,11,2,39.35733333,-110.3858389,2,1,1,US-6,14,,,,,SUV,,,,,Rollover
490008,0,6,3,2013,7,3,40.21148611,-110.3889389,1,1,9,SR-87,66,,,,,Semi truck,,,,,Hit cyclist
